title,asin,price,original_price,discount_percent,currency,availability,rating,rating_count,badge,url,retailer,category,scraped_at
"Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS66GI01I, Inbuilt Heater, Removes 99.9% Germs, Silver Inox)",B07JW58P2C,45700.0,61990.0,26.3,INR,In Stock,4.3 out of 5 stars,,Amazon's,https://www.amazon.in/dp/B07JW58P2C,amazon.in,dishwasher,2026-04-22T18:14:54.458199+00:00
"Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS66GW01I, Inbuilt Heater, Removes 99.9% Germs, White)",B07JW77MVJ,42900.0,52990.0,19.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B07JW77MVJ,amazon.in,dishwasher,2026-04-22T18:14:54.546560+00:00
"MIDEA 8 Place Setting Countertop Dishwasher (MDWTT0802D(B) IN, Black, 6 wash programs, Portable, anti-bacterial filter & Intensive 70 degree wash for Ultra Hygiene, 24 Hour Delay Timer)",B0DSC7JW1V,15990.0,29490.0,45.8,INR,In Stock,4.0 out of 5 stars,,,https://www.amazon.in/dp/B0DSC7JW1V,amazon.in,dishwasher,2026-04-22T18:14:54.641470+00:00
"IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptune FX14, White, 70° Hot Water Wash with Hygienic Steam Drying, Perfect for Indian Utensils)",B0D7PWGS5S,39990.0,49990.0,20.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B0D7PWGS5S,amazon.in,dishwasher,2026-04-22T18:14:54.728773+00:00
"Bosch 14 Place Setting (fits up to 80 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS46KI03I, Inbuilt Heater, Removes 99.9% Germs, Silver Inox)",B08BCQ5W9M,54600.0,66790.0,18.3,INR,In Stock,4.0 out of 5 stars,,,https://www.amazon.in/dp/B08BCQ5W9M,amazon.in,dishwasher,2026-04-22T18:14:54.809836+00:00
"IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptune VX14, Inox Grey, 70° Hot Water Wash with Hygienic Steam Drying, Perfect for Indian Utensils)",B0D7Q26B42,42890.0,49990.0,14.2,INR,In Stock,4.0 out of 5 stars,,,https://www.amazon.in/dp/B0D7Q26B42,amazon.in,dishwasher,2026-04-22T18:14:54.903901+00:00
"Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Indian Utensils | Hygiene+ & Intensive Kadhai Program (SMS66GB01I, Inbuilt Heater, Removes 99.9% Germs, White)",B0GG587PF4,47800.0,58990.0,19.0,INR,In Stock,4.3 out of 5 stars,,,https://www.amazon.in/dp/B0GG587PF4,amazon.in,dishwasher,2026-04-22T18:14:54.999720+00:00
"IFB 15 Place Freestanding Dishwasher with DeepClean® Technology, 3rd Cutlery Tray, 70°C Hot Water Wash, Turbo Drying, Anti-Bacterial Filter, Perfect for Indian Utensils (Neptune VX15, Dark Silver)",B0DWXFB3Y4,47990.0,56190.0,14.6,INR,In Stock,3.8 out of 5 stars,,,https://www.amazon.in/dp/B0DWXFB3Y4,amazon.in,dishwasher,2026-04-22T18:14:55.092186+00:00
"LG 15 Place Setting Dishwasher for Indian Utensils|Cleans Kadhai & Pressure Cooker|TrueSteam & QuadWash Technology|Inverter| Freestanding Dishwasher with Auto Open Door & WiFi (DFB435FV, Prime Silver)",B0GHP4RKBB,64826.0,82999.0,21.9,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B0GHP4RKBB,amazon.in,dishwasher,2026-04-22T18:14:55.242759+00:00
"IFB 16 Place Settings with DeepClean® Technology Powered by AI Freestanding Dishwasher (Neptune VX16, Inox Grey, Largest Capacity Washes upto 92 Utensils, 70° Hot Water Wash)",B0D7PZ4HW2,53490.0,62590.0,14.5,INR,In Stock,3.7 out of 5 stars,,,https://www.amazon.in/dp/B0D7PZ4HW2,amazon.in,dishwasher,2026-04-22T18:14:55.327335+00:00
"FORTUNE DISHWASHER STARTER COMBO - Dishwasher Detergent 1kg (Pack of 1), Salt 1kg (Pack of 1) & Rinse Aid 500ml (Pack of 1)",B00SBMHYKS,599.0,23960.0,97.5,INR,In Stock,4.4 out of 5 stars,,,https://www.amazon.in/dp/B00SBMHYKS,amazon.in,dishwasher,2026-04-22T18:14:55.429023+00:00
Fortune Dishwasher Detergent Powder - 1 Kg| Powerful Enzyme Cleaning for Tough Grease & Food Stains | Designed for Indian Cooking | For All Dishwashers,B00SL32GVY,280.0,280.0,0.0,INR,In Stock,4.4 out of 5 stars,,,https://www.amazon.in/dp/B00SL32GVY,amazon.in,dishwasher,2026-04-22T18:14:55.513006+00:00
"Hafele Aqua Noir Dishwasher | 13 Place Settings | Free Standing | Premium Matte Black Finish | Designed for Indian Utensils | Hygienic, Spacious & High-Performance Cleaning",B0G34QCZCB,39999.0,50600.0,21.0,INR,In Stock,4.7 out of 5 stars,,Limited time deal,https://www.amazon.in/dp/B0G34QCZCB,amazon.in,dishwasher,2026-04-22T18:15:05.995401+00:00
"Finish 1 Kg, Classic Dishwasher Detergent Powder | World's #1 Recommended Dishwashing Brand",B00HJ2FNJ0,395.0,395.0,0.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B00HJ2FNJ0,amazon.in,dishwasher,2026-04-22T18:15:06.141345+00:00
"Crompton 13 Place Setting Freestanding Dishwasher with 5 Wash Program and Super Active Drying System | Energy Saving Dishwasher with Stainless Steel Tub (Voilla 13 PS ENT,Silver Inox,FS-DWVOA13PS-ENT)",B0CHSK6JX2,33990.0,45590.0,25.4,INR,In Stock,3.4 out of 5 stars,,,https://www.amazon.in/dp/B0CHSK6JX2,amazon.in,dishwasher,2026-04-22T18:15:06.300503+00:00
"Fortune 5-in-1 Dishwasher Tablets - 30 Tablets | Enzyme Powered Cleaning for Indian Cooking | Removes Oil, Masala, Tea & Coffee Stains | With Rinse Aid, Salt & Glass Protection | 30 Tablets",B00S5YAHMY,399.0,1330.0,70.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B00S5YAHMY,amazon.in,dishwasher,2026-04-22T18:15:06.381823+00:00
"Bosch Combo Pack Dishwasher - Detergent, Salt & Rinse Aid",B07TV3NCBB,889.0,889.0,0.0,INR,In Stock,4.5 out of 5 stars,,,https://www.amazon.in/dp/B07TV3NCBB,amazon.in,dishwasher,2026-04-22T18:15:06.469890+00:00
"Finish 24 Tablets, Powerball All in 1 Max Dishwasher Tablets | World's #1 Recommended Dishwashing Brand",B0727RZQT6,523.0,2179.0,76.0,INR,In Stock,4.4 out of 5 stars,,,https://www.amazon.in/dp/B0727RZQT6,amazon.in,dishwasher,2026-04-22T18:15:06.568335+00:00
Beco Natural Dishwasher Liquid Refill | 2L Pack | Anti-Bacterial Formula | Orange Citrus Freshness | Ecofriendly Dish Washing Liquid Gel | Tough Grease Removal | Leaves No Residue on Utensils,B0D879F3LR,210.0,105.0,0.0,INR,In Stock,4.1 out of 5 stars,,,https://www.amazon.in/dp/B0D879F3LR,amazon.in,dishwasher,2026-04-22T18:15:06.712733+00:00
"IFB Essentials Autodish Automatic Dishwasher powder Detergent - 1 Kg,Pack of 1",B019IOD8VG,360.0,360.0,0.0,INR,In Stock,4.2 out of 5 stars,,,https://www.amazon.in/dp/B019IOD8VG,amazon.in,dishwasher,2026-04-22T18:15:06.803170+00:00
"Finish Dishwasher Rinse Aid Liquid, Shine & Dry - 400 Ml",B00HJ2FOU8,254.0,635.0,60.0,INR,In Stock,4.5 out of 5 stars,,,https://www.amazon.in/dp/B00HJ2FOU8,amazon.in,dishwasher,2026-04-22T18:15:06.856633+00:00
"Finish 50 Tablets, Powerball Quantum All in 1 Max Dishwasher Tablets |Best ever Clean & Shine | World's #1 Recommended Dishwashing Brand (520g)",B07SDT7ZCC,1044.0,2088.0,50.0,INR,In Stock,4.5 out of 5 stars,,,https://www.amazon.in/dp/B07SDT7ZCC,amazon.in,dishwasher,2026-04-22T18:15:06.922231+00:00
