amazon_title,flipkart_title,amazon_price,flipkart_price,match_score,confidence,cheaper_on,saving,amazon_url,flipkart_url
Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Ind,BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No P,45700.0,42900.0,0.7879,medium,Flipkart,2800.0,https://www.amazon.in/dp/B07JW58P2C,https://www.flipkart.com/bosch-sms66gw01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfdzsgahybprgb?pid=DSWFDZSG7MCTU3GY&lid=LSTDSWFDZSG7MCTU3GYU21UYW&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_3&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFDZSG7MCTU3GY.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Ind,BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No P,42900.0,42900.0,0.7875,medium,Same price,0,https://www.amazon.in/dp/B07JW77MVJ,https://www.flipkart.com/bosch-sms66gw01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfdzsgahybprgb?pid=DSWFDZSG7MCTU3GY&lid=LSTDSWFDZSG7MCTU3GYU21UYW&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_3&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFDZSG7MCTU3GY.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
Bosch 14 Place Setting (fits up to 80 utensils) Free-Standing Dishwasher for Ind,BOSCH SMS46KI03I Free Standing 14 Place Settings Intensive Kadhai Cleaning| No P,54600.0,54600.0,0.774,medium,Same price,0,https://www.amazon.in/dp/B08BCQ5W9M,https://www.flipkart.com/bosch-sms46ki03i-free-standing-14-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itme035a9f6af0d7?pid=DSWGFZFNJJRFRGAJ&lid=LSTDSWGFZFNJJRFRGAJTWUU54&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_11&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGFZFNJJRFRGAJ.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
"MIDEA 8 Place Setting Countertop Dishwasher (MDWTT0802D(B) IN, Black, 6 wash pro",Midea MDWTT0802D(B) Free Standing 8 Place Settings Dishwasher,15990.0,29490.0,0.7484,medium,Amazon,13500.0,https://www.amazon.in/dp/B0DSC7JW1V,https://www.flipkart.com/midea-mdwtt0802d-b-free-standing-8-place-settings-dishwasher/p/itm895fe56c01f19?pid=DSWGYXR7MGB3YDVG&lid=LSTDSWGYXR7MGB3YDVGOTG7J5&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_32&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGYXR7MGB3YDVG.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptun,"IFB Neptune VX14 Free Standing 14 Place Settings with 70 Degree Hot Water Wash, ",39990.0,41090.0,0.768,medium,Amazon,1100.0,https://www.amazon.in/dp/B0D7PWGS5S,https://www.flipkart.com/ifb-neptune-vx14-free-standing-14-place-settings-70-degree-hot-water-wash-360-spray-arm-hygienic-steam-drying-dishwasher/p/itm9e88be3d62ad9?pid=DSWHFJ4BVHWRG94F&lid=LSTDSWHFJ4BVHWRG94F6ENBLM&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_31&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHFJ4BVHWRG94F.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
Bosch 13 Place Setting (fits up to 70 utensils) Free-Standing Dishwasher for Ind,BOSCH SMS66GW01I Free Standing 13 Place Settings Intensive Kadhai Cleaning| No P,47800.0,42900.0,0.7892,medium,Flipkart,4900.0,https://www.amazon.in/dp/B0GG587PF4,https://www.flipkart.com/bosch-sms66gw01i-free-standing-13-place-settings-intensive-kadhai-cleaning-no-pre-rinse-required-dishwasher/p/itmfdzsgahybprgb?pid=DSWFDZSG7MCTU3GY&lid=LSTDSWFDZSG7MCTU3GYU21UYW&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_3&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWFDZSG7MCTU3GY.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptun,"IFB Neptune VX14 Free Standing 14 Place Settings with 70 Degree Hot Water Wash, ",42890.0,41090.0,0.7656,medium,Flipkart,1800.0,https://www.amazon.in/dp/B0D7Q26B42,https://www.flipkart.com/ifb-neptune-vx14-free-standing-14-place-settings-70-degree-hot-water-wash-360-spray-arm-hygienic-steam-drying-dishwasher/p/itm9e88be3d62ad9?pid=DSWHFJ4BVHWRG94F&lid=LSTDSWHFJ4BVHWRG94F6ENBLM&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_31&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHFJ4BVHWRG94F.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
IFB 16 Place Settings with DeepClean® Technology Powered by AI Freestanding Dish,IFB NEPTUNE VX2 PLUS Free Standing 16 Place Settings Dishwasher,53490.0,39999.0,0.7747,medium,Flipkart,13491.0,https://www.amazon.in/dp/B0D7PZ4HW2,https://www.flipkart.com/ifb-neptune-vx2-plus-free-standing-16-place-settings-dishwasher/p/itm6c499b9cab253?pid=DSWGRU9YCTG8WAJU&lid=LSTDSWGRU9YCTG8WAJUE3W0GD&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_28&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGRU9YCTG8WAJU.SEARCH&ppt=sp&ppn=sp&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
LG 15 Place Setting Dishwasher for Indian Utensils|Cleans Kadhai & Pressure Cook,LG DFB435FM Free Standing 15 Place Settings Dishwasher,64826.0,66647.0,0.7535,medium,Amazon,1821.0,https://www.amazon.in/dp/B0GHP4RKBB,https://www.flipkart.com/lg-dfb435fm-free-standing-15-place-settings-dishwasher/p/itmd7431392eb23c?pid=DSWHJK7DM8ZUMNFN&lid=LSTDSWHJK7DM8ZUMNFNY3BBXL&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_2_49&otracker=search&fm=organic&iid=c08de7ca-869a-478f-8aec-f9de960fc3e6.DSWHJK7DM8ZUMNFN.SEARCH&ppt=sp&ppn=sp&ssid=rbc548hbds0000001776882301593&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
"Bosch 14 Place Settings free-standing Dishwasher (SMS6HVI01I, Fingerprint free s",BOSCH SMS6IKI01I Free Standing 14 Place Settings Dishwasher,60900.0,46490.0,0.9254,high,Flipkart,14410.0,https://www.amazon.in/dp/B097G7SBBX,https://www.flipkart.com/bosch-sms6iki01i-free-standing-14-place-settings-dishwasher/p/itme08e35c01d742?pid=DSWHF7RBWCTEGEBD&lid=LSTDSWHF7RBWCTEGEBDG9NUWS&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_14&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWHF7RBWCTEGEBD.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
"Electrolux 14 Place Settings Dishwasher Machine for Home, Fully Automatic with A",Electrolux ESM48310SX Free Standing 14 Place Settings Dishwasher,58990.0,58990.0,0.7543,medium,Same price,0,https://www.amazon.in/dp/B0CH5LGHYY,https://www.flipkart.com/electrolux-esm48310sx-free-standing-14-place-settings-dishwasher/p/itm50da9cd0c1d19?pid=DSWGTESCZPHR2BQR&lid=LSTDSWGTESCZPHR2BQRBZWYUU&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_1_37&otracker=search&fm=organic&iid=e0a8c1d0-b2f6-47b9-9b51-e6a5b84d9f27.DSWGTESCZPHR2BQR.SEARCH&ppt=None&ppn=None&ssid=jek8yjrni80000001776882291456&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
"Electrolux 15 Place Settings Dishwasher Machine for Home, Fully Automatic with A",Electrolux ESZ69300SX Free Standing 15 Place Settings Dishwasher,68990.0,70490.0,0.7905,medium,Amazon,1500.0,https://www.amazon.in/dp/B0CH5MP92Q,https://www.flipkart.com/electrolux-esz69300sx-free-standing-15-place-settings-dishwasher/p/itm50da9cd0c1d19?pid=DSWGTESCQJVJFCDR&lid=LSTDSWGTESCQJVJFCDREM8MHP&marketplace=FLIPKART&q=dishwasher+machine&store=j9e%2Fm38%2F58n&srno=s_2_42&otracker=search&fm=organic&iid=c08de7ca-869a-478f-8aec-f9de960fc3e6.DSWGTESCQJVJFCDR.SEARCH&ppt=sp&ppn=sp&ssid=rbc548hbds0000001776882301593&qH=ccd08ba28991a7bf&ov_redirect=true&ov_redirect=true
